Rank,Material,Family,Elongation (%),Modulus (MPa),Tensile Strength (MPa),Impact/Tear (MPa),Min Service Temp (°C),Flexibility Score,Cut Resistance Score,Impact Protection Score,Low Temp Score,Total Score (weighted),# Data Fields Available
54,"Overview of materials for Acrylic, Extruded",Polymer,30.5,1920.9999999999998,61.05,,,0.5124146370858993,0.00888668023392848,0.0003627209802731272,0.3,0.2270836712462979,3
55,"Overview of materials for Nylon 6, 20% Mineral Filled",Polymer,25.45,3675.0,86.5,,,0.5075533914765974,0.01409125398106325,0.0005269196453024955,0.3,0.22697644714018855,3
56,"Overview of materials for Polyaryletherketone (PAEK), Carbon Fiber Filled",Polymer,12.9,29380.0,178.5,,,0.4670107606130606,0.05872492939125767,0.0011204865287092493,0.3,0.22629534233769039,3
57,"Overview of materials for Nylon 46, Glass Fiber Reinforced",Polymer,8.15,13250.0,170.0,,,0.48614496623347664,0.03626085472958479,0.0010656461101336253,0.3,0.226242123822619,3
58,"Overview of materials for Acrylic, UV Stabilized, Molded",Polymer,26.0,2620.0,56.2,,,0.5092348071815322,0.009272540263309509,0.00033142968261527117,0.3,0.22608023052905218,3
59,"Overview of materials for Acetal Copolymer, Carbon Fiber Filled",Polymer,12.8,12899.999999999998,141.0,,,0.4889343849876728,0.03252854218088919,0.0008785435055814963,0.3,0.2260613061010685,3
60,"Overview of materials for Acrylic, Gamma Radiation Resistant, Molded",Polymer,27.5,2170.0,43.3,,,0.5105840870105965,0.007219886555903984,0.00024820128265932415,0.3,0.22592003667701183,3
61,"Overview of materials for Nylon 6, Mineral Reinforced, Impact Grade",Polymer,23.5,3285.0,65.0,,,0.5070993420509722,0.011150169767979213,0.0003882056453759172,0.3,0.2259074617773092,3
62,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Unreinforced, Flame Retardant",Polymer,29.0,2875.0,36.8,,,0.5103933498378731,0.007427942976900681,0.00020626449198384695,0.3,0.22590730823472255,3
63,"Overview of materials for Acrylic, Optical Grade, Molded",Polymer,21.0,2705.0,63.65,,,0.5066238952470146,0.010224806690556372,0.00037949569654331807,0.3,0.22546170448293068,3
64,BASF Elastollan? R 2005/1 20% Glass Filled TPUR,,20.0,1900.0,65.0,,,0.5071977249600845,0.009303482713887468,0.0003882056453759172,0.3,0.22538788967927098,3
