Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,Density,elongation_pct,Elongation,strength_mpa,Strength,Score
69,70,"Acrylic, Extruded",Polymer,0.942 - 1.19 g/cc,29.0 - 93.1 MPa,2.00 - 59.0 %,0.0420 - 3.80 GPa,,,Acrylic,,,1.0659999999999998,1.066g/cc,30.5,30.5%,61.05,61.0MPa,0.3185
70,38,"Acrylonitrile Butadiene Styrene (ABS), Transparent, Molded",Polymer,1.04 - 1.16 g/cc,30.0 - 57.0 MPa,10.0 - 70.0 %,1.35 - 2.35 GPa,,,,,,1.1,1.100g/cc,40.0,40.0%,43.5,43.5MPa,0.3181
71,59,"Polycarbonate/ABS Alloy, Glass Fiber Filled",Polymer,0.962 - 1.48 g/cc,27.0 - 131 MPa,0.600 - 109 %,2.41 - 13.0 GPa,,,,,,1.221,1.221g/cc,54.8,54.8%,79.0,79.0MPa,0.3177
72,183,"Polypropylene, Stainless Fiber, EMI",Polymer,0.930 - 1.30 g/cc,15.0 - 70.0 MPa,2.5 - 76 %,0.621 - 4.10 GPa,,,,,,1.115,1.115g/cc,39.25,39.2%,42.5,42.5MPa,0.3168
73,80,"Cellulose Acetate Propionate, Molded",Polymer,1.17 - 1.21 g/cc,8.00 - 8.00 MPa,34.0 - 86.0 %,0.927 - 1.85 GPa,,,,,,1.19,1.190g/cc,60.0,60.0%,8.0,8.0MPa,0.3162
74,22,Vapla Vaplatec 1000 Ultra High Molecular Weight Polyethylene,,0.930 g/cc,22.0 MPa,2.9,0.915 GPa,,,,,,0.93,0.930g/cc,2.9,2.9%,22.0,22.0MPa,0.3153
75,187,"Polystyrene, Transparent Grade",Polymer,1.03 - 1.06 g/cc,35.0 - 59.0 MPa,1.0 - 35 %,2.59 - 4.71 GPa,,,,,,1.045,1.045g/cc,18.0,18.0%,47.0,47.0MPa,0.3146
76,75,Acrylic/Polycarbonate Alloy,Polymer,1.12 - 1.29 g/cc,40.3 - 61.0 MPa,8.00 - 88.0 %,1.72 - 2.60 GPa,,,,,,1.205,1.205g/cc,48.0,48.0%,50.65,50.6MPa,0.3144
77,73,"Acrylic, Gamma Radiation Resistant, Molded",Polymer,1.08 - 1.17 g/cc,36.3 - 50.3 MPa,5.00 - 50.0 %,1.38 - 2.96 GPa,,,,,,1.125,1.125g/cc,27.5,27.5%,43.3,43.3MPa,0.3123
78,99,"Nylon 6, Impact Grade",Polymer,1.00 - 4.00 g/cc,12.0 - 470 MPa,1.50 - 500 %,0.145 - 3.30 GPa,,-100 - -40.0 C,,,,2.5,2.500g/cc,250.75,250.8%,241.0,241.0MPa,0.3113
