No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes
146,"Thermoplastic Polyurethane, Elastomer, Polyester Grade",Polymer,0.992 - 1.44 g/cc,3.45 - 72.1 MPa,10.0 - 1580 %,0.00300 - 0.870 GPa,17.5 - 333 kN/m,,,,
147,"Silicone Polyurethane, Ether Based",Polymer,0.978 - 1.11 g/cc,12.0 - 60.0 MPa,25.0 - 823 %,0.00800 - 0.750 GPa,20.2 - 175 kN/m,,,,
148,"Silicone Elastomer, for Thermal Management",Polymer,1.10 - 3.18 g/cc,0.248 - 97.0 MPa,0.200 - 925 %,,3.40 - 231 kN/m,-73.3 - -40.0 °C,,,
149,Polyether Ester Elastomer,Polymer,1.05 - 1.48 g/cc,7.00 - 54.0 MPa,50.0 - 980 %,0.0500 - 1.00 GPa,,,,,
150,Styrenic TPE,Polymer,0.930 - 1.68 g/cc,0.345 - 80.0 MPa,3.8 - 900 %,0.0180 - 0.0680 GPa,20.0 - 29.4 kN/m,,,,
151,"Fluorocarbon Rubber (FPM), Low Temperature Grade",Polymer,1.85 - 2.30 g/cc,17.0 MPa,,,,-5.00 °C,sheet,,
152,Mitsubishi Chemical Advanced Materials Ertalyte™ TX Internally Lubricated Semi-Crystalline PET,Polymer,,76.0 MPa,4.00%,,,-20.0 °C,,,
153,Mitsubishi Chemical Advanced Materials Ertalon™ 6PLA FG PA6 Food Grade Polyamide 6,Polymer,,88.0 MPa,121 MPa,,,-30.0 °C,,,
154,"Sumitomo Bakelite Durez® 118 Phenolic, Injection Grade",Polymer,1.40 g/cc,48.0 MPa,,,,,,,
155,Polyphenylene Ether + Styrene-Butadiene Blend,Polymer,1.06 - 1.10 g/cc,50.0 - 80.0 MPa,20.0 - 50.0 %,2.20 - 2.80 GPa,,,,,
156,Polyphenylene Sulfide (PPS) with PTFE Filler,Polymer,1.42 - 2.03 g/cc,11.0 - 160 MPa,0.500 - 68.0 %,1.65 - 15.0 GPa,,,,,
157,"Polyphthalamide (PPA), Aramid Fiber",Polymer,1.21 - 1.38 g/cc ,51.7 - 241 MPa,1.00 - 3.50 %,3.50 - 24.1 GPa ,,,,,
158,"Polyphthalamide (PPA), Stainless Fiber, EMI",Polymer,1.19 - 3.80 g/cc ,52.0 - 159 MPa,0.600 - 6.00 %,2.90 - 12.4 GPa,,,,,
159,"Polypropylene, Carbon Fiber Filled",Polymer,0.872 - 1.68 g/cc,19.3 - 165 MPa,0.400 - 436 %,1.03 - 27.6 GPa,,,fiber,,
160,"Polypropylene, Mineral Reinforced",Polymer,0.905 - 3.15 g/cc,6.00 - 75.0 MPa,0.500 - 870 %,0.950 - 8.50 GPa,,,,,
161,Polypropylene Copolymer,Polymer,0.780 - 2.77 g/cc,5.00 - 128 MPa,1.30 - 1000 %,0.0340 - 9.50 GPa,,,,,
162,Polypropylene with 40% Mica Filler,Polymer,1.17 - 1.27 g/cc,14.0 - 40.2 MPa,3.00 - 10.0 %,2.50 - 4.83 GPa,,,,,
163,Polypropylene w/ 50% Calcium Carbonate,Polymer,1.24 - 1.95 g/cc,15.5 - 26.0 MPa,50.0 - 469 %,,,,,,
164,"Polystyrene, Extrusion Grade",Polymer,0.0300 - 1.20 g/cc,0.100 - 53.0 MPa,1.00 - 70.0 %,0.00300 - 3.40 GPa,,-60.0 °C,,,
165,"Polystyrene, Impact Modified",Polymer,0.650 - 2.12 g/cc,12.4 - 240 MPa,1.30 - 350 %,0.155 - 3.47 GPa,,,,,
166,Expanded Polystyrene (EPS),Polymer,0.00310 - 3.50 g/cc,0.0800 - 1.10 MPa,5.00 - 13.4 %,0.00650 - 2.65 GPa,,,,,
167,"Polystyrene + Polyphenylene Ether, Unreinforced",Polymer,0.880 - 2.07 g/cc,34.0 - 165 MPa,0.700 - 150 %,1.50 - 16.3 GPa,,,,,
168,"Styrene Acrylonitrile (SAN), Molded",Polymer,0.901 - 1.36 g/cc,25.8 - 85.5 MPa,1.50 - 900 %,2.90 - 3.80 GPa,,,,,
169,"Styrene Acrylonitrile (SAN), Transparent",Polymer,1.07 - 1.08 g/cc,62.0 - 75.8 MPa,2.00 - 3.50 %,3.17 - 3.80 GPa,,,,,
170,"umitomo Bakelite Durez® 31735 Phenolic, Compression Grade",Polymer,1.43 g/cc ,55.0 MPa,1.29 - 1.43 g/cc,2.60 - 6.21 Gpa,,-50.0 - -20.0 °C,,,
171,"Polyphenylene Sulfide (PPS), Unreinforced, Extruded",Polymer,,,,,,,,,
172,"Polyphenylene Sulfide (PPS) Alloy, Glass Reinforced, Flow Enhanced",Polymer,1.29 - 1.70 g/cc,112 - 195 MPa,1.4 - 5.0 %,9.30 - 22.0 GPa,,,,,
173,Polyphenylene Sulfide (PPS) with 10% Glass Fiber Filler,Polymer,1.38 - 2.06 g/cc,34.5 - 375 MPa,0.80 - 3.5 %,4.83 - 21.0 GPa,,,,,
174,verview of materials for Polyphenylene Sulfide (PPS) with 40% Carbon Fiber Filler,Polymer,1.48 - 1.74 g/cc,77.2 - 234 MPa,0.00 - 2.0 %,12.4 - 45.0 GPa,,,,,
175,"Polyphenylene Sulfide (PPS), Conductive",Polymer,1.29 - 3.70 g/cc,0.30 - 100 %,0.30 - 100 % ,11.0 - 26.2 GPa,,,,,
176,"Polyphthalamide (PPA), 10% Glass Fiber Reinforced",Polymer,1.26 - 1.61 g/cc,89.6 - 120 MPa,1.0 - 3.0 %,5.52 - 9.17 Gpa,,,,,
177,"Polyphenylene Sulfide (PPS), Aramid Fiber",Polymer,1.25 - 1.56 g/cc,45.0 - 134 MPa,1.0 - 4.0 %,3.80 - 22.8 GPa,,,,,
178,"Polyphthalamide (PPA), 50% Glass Fiber Reinforce",Polymer,1.45 - 1.99 g/cc,70.0 - 295 MPa,0.60 - 3.2 %,10.3 - 22.1 GPa,,,,,
179,"Polypropylene, Extrusion Grade",Polymer,0.886 - 2.00 g/cc,5.78 - 460 MPa,3.0 - 750 %,0.680 - 3.60 GPa,,-30.0 - 2.00 °C,,,
180,Polypropylene with Glass Fiber + Bead Filler,Polymer,0.960 - 1.23 g/cc,34.5 - 92.0 MPa,2.5 - 6.0 %,2.80 - 7.00 GPa,,,,,
181,Polypropylene with Carbon Black Filler,Polymer,0.947 - 1.43 g/cc,16.5 - 58.6 MPa,2.0 - 150 %,0.483 - 5.52 Gpa,,,,,
182,"Polypropylene, Sheet/Thermoforming Grade",Polymer,0.900 - 1.13 g/cc,17.9 - 35.9 MPa,7.0 - 640 %,0.280 - 2.05 Gpa,,,,,
183,"Polypropylene, Stainless Fiber, EMI",Polymer,0.930 - 1.30 g/cc,15.0 - 70.0 MPa,2.5 - 76 %,0.621 - 4.10 GPa,,,,,
184,"Polypropylene, Wood Filled",Polymer,0.938 - 1.45 g/cc,20.0 - 66.0 MPa,1.2 - 10 %,1.72 - 6.20 GPa,,,,,
185,Polypropylene with 10% Talc Filler,Polymer,0.860 - 1.38 g/cc,2.50 - 105 MPa,4.0 - 700 %,1.00 - 5.10 GPa,,,,,
186,Polypropylene with 10% Calcium Carbonate (CaCO3) Filler,Polymer,0.900 - 1.09 g/cc,11.0 - 32.1 MPa,2.0 - 545 %,0.900 - 2.07 GPa,,,,,
187,"Polystyrene, Transparent Grade",Polymer,1.03 - 1.06 g/cc,35.0 - 59.0 MPa,1.0 - 35 %,2.59 - 4.71 GPa,,,,,
188,Syndiotactic Polystyrene (SPS) with Glass or Carbon Fiber,Polymer,1.08 - 1.54 g/cc,65.5 - 175 MPa,0.60 - 3.0 %,4.14 - 24.1 GPa,,,,,
189,"Polystyrene + Polyphenylene Ether, Glass Filler",Polymer,1.14 - 1.45 g/cc,60.0 - 148 MPa,1.0 - 20 %,3.80 - 10.6 GPa,,,,,
190,"Polystyrene + Polyphenylene Ether, Glass + Mineral Filler",Polymer,1.13 - 1.43 g/cc,50.0 - 120 MPa,1.0 - 40 %,,,,,,
191,"Styrene-Butadiene Copolymer, SBC",Polymer,0.848 - 7.98 g/cc,1.61 - 27.6 MPa,2.5 - 1300 %,0.0689 - 2.90 GPa,6.30 - 104 kN/m,,,,
192,Styrene/Methyl Methacrylate Copolymer (SMMA),Polymer,0.910 - 1.13 g/cc,21.0 - 65.5 MPa,2.0 - 280 %,0.820 - 3.45 GPa,,,,,
193,"Thermoset Polyurethane Foam, Unreinforced",Polymer,0.00800 - 1.39 g/cc,0.0207 - 1900 MPa,3.2 - 760 %,0.000138 - 3.45 GPa,0.140 - 10.5 kN/m,,,,
194,"Thermoplastic Polyurethane (TPUR), Glass Fiber Reinforced",Polymer,1.22 - 1.91 g/cc,14.5 - 1000 MPa ,1.0 - 430 %,0.345 - 45.0 GPa,,-30.0 °C,,,
195,Polyvinyl Dichloride (PVDC) Coated Polyester Film,Polymer,1.40 g/cc,,,3.45 - 3.79 GPa,,,,,
196,"Polysulfone, 30% Glass Fiber Reinforced",Polymer,1.46 - 1.60 g/cc,96.5 - 121 MPa,1.7 - 3.0 %,8.00 - 9.00 GPa,,,,,
197,"Polyester Thermoplastic Elastomer, Glass Filled",Polymer,1.02 - 2.00 g/cc,12.4 - 150 MPa,1.8 - 18 %,0.414 - 7.66 GPa,,,,,
198,"PVC, High Impact",Polymer,1.20 - 1.52 g/cc ,30.0 - 44.9 MPa,26 - 110 %,2.03 - 3.30 GPa,,,,,
199,"Mitsubishi Chemical Advanced Materials Acetron™ GP FG / Ertacetal™ C FG POM-C Copolymer Acetal, Extruded",Polymer,,66.0 MPa,15%,,,-50.0 °C,,,
