No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes
73,"Acrylic, Gamma Radiation Resistant, Molded",Polymer,1.08 - 1.17 g/cc,36.3 - 50.3 MPa,5.00 - 50.0 %,1.38 - 2.96 GPa,,,,,
74,"Acrylic, Optical Sheet",Polymer,1.15 - 1.19 g/cc,54.0 - 83.0 MPa,4.00 - 5.80 %,1.52 - 3.38 GPa,,,,,
75,Acrylic/Polycarbonate Alloy,Polymer,1.12 - 1.29 g/cc,40.3 - 61.0 MPa,8.00 - 88.0 %,1.72 - 2.60 GPa,,,,,
76,"Acrylic/Polycarbonate Alloy, Carbon Fiber Filler",Polymer,1.21 - 1.36 g/cc,93.1 - 145 MPa,1.20 - 2.30 %,7.65 - 24.1 GPa,,,fiber,,
77,Methacrylate Adhesive,Polymer,0.500 - 1.50 g/cc ,0.0276 - 40.0 MPa,5.00 - 300 %,0.0689 - 1.90 GPa,1.75 - 11.4 kN/m ,,,,
78,Cyanoacrylate Adhesive,Polymer,0.126 - 2.10 g/cc,2.48 - 55.2 MPa,2.00 - 340 %,0.0111 - 2.76 GPa,0.175 - 12.0 kN/m,,,,
79,"Diallyl Phthalate (DAP), Cast, Mineral Filler",Polymer,1.66 - 1.86 g/cc,31.0 - 55.2 MPa,,,,,,,
80,"Cellulose Acetate Propionate, Molded",Polymer,1.17 - 1.21 g/cc ,8.00 - 8.00 MPa,34.0 - 86.0 %,0.927 - 1.85 GPa,,,,,
81,"Epoxy, Molded, Glass Fiber Filler",Polymer,1.11 - 2.20 g/cc,50.0 - 2850 MPa,0.600 - 2.04 %,6.00 - 89.6 GPa,20.0 - 74.0 MPa,,fiber,,
82,"Epoxy, Molded, Mineral Filled",Polymer,1.50 - 2.14 g/cc,30.0 - 97.0 MPa,,,,,,,
83,"Epoxy, Cast, Metal Filled",Polymer,0.959 - 3.12 g/cc,0.159 - 59.6 MPa,0.000 - 130 %,4.14 - 49.6 GPa,1.70 - 31.0 MPa,,,,
84,"Epoxy, High Temperature",Polymer,0.990 - 2.26 g/cc,13.8 - 345 MPa,1.00 - 50.0 %,1.68 - 5.40 GPa,4.83 - 46.9 MPa,,,,
85,"Epoxy, Electrically Conductive",Polymer,0.940 - 5.30 g/cc,13.8 - 55.2 MPa,0.200 - 55.0 % ,0.146 - 7.87 GPa,4.48 - 68.9 MPa,-269 - -20.0 °C,,,
86,Epoxy Adhesive,Polymer,0.137 - 4.80 g/cc,0.276 - 766 MPa,0.000 - 250 %,0.0345 - 59.1 GPa,0.172 - 138 Mpa,-269 - -20.0 °C,,,
87,Epoxy/Carbon Fiber Composite,Polymer,1.15 - 2.25 g/cc,0.917 - 4140 MPa,0.430 - 11.0 %,2.62 - 520 GPa,6.89 - 590 MPa,-59.0 - 10.0 °C,fiber,,
88,Ethylene Vinyl Alcohol (EVOH),Polymer,1.12 - 1.24 g/cc,37.0 - 74.0 MPa,130 - 330 %,1.08 - 3.10 GPa,500 - 1300,,,,
89,"Polytetrafluoroethylene (PTFE), Carbon Fiber Filled",Polymer,1.98 - 2.65 g/cc,3.00 - 27.6 MPa,3.00 - 2000 %,,10.3421 - 15.8579 MPa,-260 - -20.0 °C,,,
