Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,elongation_pct,strength_mpa,Score
115,68,"Acetal Copolymer, Aramid Fiber Filled",Polymer,1.01 - 1.52 g/cc,45.0 - 82.7 MPa,2.00 - 12.0 %,2.70 - 4.83 GPa,,,,,,1.2650000000000001,7.0,63.85,0.29779697631662955
116,102,"Nylon 6, PTFE Filled",Polymer,1.16 - 1.49 g/cc,18.0 - 150 MPa,2.00 - 25.0 %,2.40 - 9.10 GPa,,,,,,1.325,13.5,84.0,0.29753853433579475
117,108,"Nylon 66, Carbon Fiber/PTFE Filled",Polymer,1.17 - 1.54 g/cc,75.8 - 241 MPa,0.900 - 4.00 %,3.45 - 32.4 GPa,,,fiber,,,1.355,2.45,158.4,0.29747417317112324
118,44,"Acrylonitrile Butadiene Styrene (ABS), 20% Glass Fiber Filled",Polymer,1.10 - 1.45 g/cc,35.0 - 108 MPa,1.00 - 11.0 %,3.50 - 12.2 GPa,,,,,,1.275,6.0,71.5,0.29738237214021207
119,188,Syndiotactic Polystyrene (SPS) with Glass or Carbon Fiber,Polymer,1.08 - 1.54 g/cc,65.5 - 175 MPa,0.60 - 3.0 %,4.14 - 24.1 GPa,,,,,,1.31,1.8,120.25,0.2973464102052999
120,104,"Nylon 6, Mineral Reinforced, Impact Grade",Polymer,1.17 - 1.55 g/cc,30.0 - 100 MPa,2.00 - 45.0 %,1.40 - 5.17 GPa,,,,,,1.3599999999999999,23.5,65.0,0.29714755199998016
121,61,"Polycarbonate/ABS Alloy, NCG Fiber Filled",Polymer,1.18 - 1.45 g/cc,62.1 - 153 MPa,0.500 - 5.00 %,4.48 - 17.9 GPa,,,,,,1.315,2.75,107.55,0.2963823354850774
122,98,"Nylon 6, Unreinforced",Polymer,0.670 - 4.50 g/cc,10.0 - 225 MPa,0.400 - 500 %,0.210 - 17.0 GPa,55.2 - 75.0 MPa,-60.0 - -10.0 C,fiber,,,2.585,250.2,117.5,0.2962374277809557
123,52,"Acrylonitrile Butadiene Styrene (ABS), Stainless Steel Fiber Filled",Polymer,1.00 - 1.51 g/cc,27.6 - 45.0 MPa,1.00 - 10.0 %,2.28 - 3.10 GPa,,,,,,1.255,5.5,36.3,0.2958869793170877
124,129,"Polyethersulfone, Carbon Fiber Reinforced",Polymer,1.36 - 1.57 g/cc,103 - 325 MPa,1.00 - 12.0 %,2.40 - 36.6 GPa,,,,,,1.465,6.5,214.0,0.2957814400818628
125,54,"Acrylonitrile Butadiene Styrene (ABS), NCG Fiber Filled",Polymer,1.07 - 1.51 g/cc,44.8 - 121 MPa,1.00 - 2.00 %,5.17 - 17.9 GPa,,,,,,1.29,1.5,82.9,0.29575633330119794
126,109,"Nylon 66, Mineral Filled, Impact Grade",Polymer,1.22 - 1.48 g/cc,49.6 - 124 MPa,2.50 - 18.0 %,3.25 - 7.24 GPa,,,film,,,1.35,10.25,86.8,0.2950280125230727
127,139,"Polyphthalamide (PPA), Carbon Fiber + PTFE Filled",Polymer,1.27 - 1.58 g/cc,100 - 276 MPa,1.00 - 3.00 %,10.0 - 29.3 GPa,,,,,,1.425,2.0,188.0,0.29495575479072145
128,136,Polyphenylene Sulfide (PPS) with Carbon Fiber + PTFE Filler,Polymer,1.08 - 1.62 g/cc,53.0 - 180 MPa,0.000 - 2.00 %,4.60 - 34.5 GPa,,,,,,1.35,1.0,116.5,0.2941767982330508
129,62,"Polycarbonate/ABS Alloy, Antistat/Conductive",Polymer,1.14 - 1.53 g/cc,37.9 - 124 MPa,1.00 - 10.0 %,1.72 - 12.4 GPa,,,,,,1.335,5.5,80.95,0.29399157303476864
130,46,"Acrylonitrile Butadiene Styrene (ABS), 30% Glass Fiber Filled",Polymer,1.17 - 1.50 g/cc,39.0 - 120 MPa,1.00 - 6.00 %,12.8 - 185 MPa,,,,,,1.335,3.5,79.5,0.2932171505047538
131,7,BASF Elastollan® 1154 D FHF TPUR Flame Retardant Halogen Free,,1.27 g/cc,20.0 MPa,4,,110 kN/m,160 - 220 C,,,,1.27,4.0,20.0,0.29318193190811753
132,9,BASF Elastollan® R 1001 10% Glass Filled TPUR,,1.27 g/cc,30.0 MPa,0.65,,,225 - 245 C,,,,1.27,0.65,30.0,0.29281693764460964
133,91,"Polyetheretherketone, PEEK, Aramid Fiber Filled",Polymer,1.31 - 1.50 g/cc,75.0 - 193 MPa,1.00 - 6.00 %,4.00 - 20.7 GPa,,,,,,1.405,3.5,134.0,0.2927160227272082
134,45,"Acrylonitrile Butadiene Styrene (ABS), 40% Glass Fiber Filled",Polymer,1.32 - 1.38 g/cc,64.0 - 101 MPa,1.00 - 4.00 %,5.30 - 11.0 GPa,,,,,,1.35,2.5,82.5,0.29212603223579453
135,122,"Polybutylene Terephthalate (PBT), Carbon Fiber Filled",Polymer,1.30 - 1.57 g/cc,82.7 - 220 MPa,0.500 - 6.00 %,6.21 - 40.0 GPa,,,fiber,,,1.435,3.25,151.35,0.29196750551282463
136,115,"Polycarbonate, Glass Fiber & Bead Filled",Polymer,1.26 - 1.42 g/cc,53.4 - 86.0 MPa,1.00 - 3.00 %,3.80 - 5.20 GPa,,,,,,1.3399999999999999,2.0,69.7,0.29165512965335455
137,67,"Acetal Copolymer, Carbon Fiber Filled",Polymer,1.40 - 1.58 g/cc,65.0 - 217 MPa,0.600 - 25.0 %,2.40 - 23.4 GPa,,,fiber,,,1.49,12.8,141.0,0.2907644565164093
138,123,"Polybutylene Terephthalate (PBT), Aramid Fiber Filled",Polymer,1.32 - 1.46 g/cc,58.6 - 103 MPa,3.00 - 8.00 %,3.45 - 5.86 GPa,,,fiber,,,1.3900000000000001,5.5,80.8,0.29037494766078925
139,10,BASF Elastollan® R 2005/1 20% Glass Filled TPUR,,1.35 g/cc,65.0 MPa,0.2,1.90 GPa,,225 - 245 C,,,,1.35,0.2,65.0,0.2900479996235655
140,97,"Nylon 46, Glass Fiber Reinforced",Polymer,1.17 - 1.87 g/cc,60.0 - 280 MPa,1.30 - 15.0 %,1.00 - 25.5 GPa,,,fiber,,,1.52,8.15,170.0,0.2894252183618099
141,121,"Polybutylene Terephthalate (PBT), Glass Fiber Filled, Flame Retardant",Polymer,1.27 - 1.76 g/cc,15.0 - 154 Mpa,0.900 - 50.0 %,0.765 - 21.2 GPa,,,fiber,,,1.5150000000000001,25.45,84.5,0.28909849014850186
142,120,"Polybutylene Terephthalate (PBT), Glass Fiber Filled, Flame Retardant",Polymer,1.27 - 1.76 g/cc,15.0 - 154 MPa,0.900 - 50.0 %,0.765 - 21.2 GPa,,,,,,1.5150000000000001,25.45,84.5,0.28909849014850186
143,177,"Polyphenylene Sulfide (PPS), Aramid Fiber",Polymer,1.25 - 1.56 g/cc,45.0 - 134 MPa,1.0 - 4.0 %,3.80 - 22.8 GPa,,,,,,1.405,2.5,89.5,0.28904566101778484
144,84,"Epoxy, High Temperature",Polymer,0.990 - 2.26 g/cc,13.8 - 345 MPa,1.00 - 50.0 %,1.68 - 5.40 GPa,4.83 - 46.9 MPa,,,,,1.625,25.5,179.4,0.28902193652815183
145,172,"Polyphenylene Sulfide (PPS) Alloy, Glass Reinforced, Flow Enhanced",Polymer,1.29 - 1.70 g/cc,112 - 195 MPa,1.4 - 5.0 %,9.30 - 22.0 GPa,,,,,,1.495,3.2,153.5,0.2881789782938424
146,176,"Polyphthalamide (PPA), 10% Glass Fiber Reinforced",Polymer,1.26 - 1.61 g/cc,89.6 - 120 MPa,1.0 - 3.0 %,5.52 - 9.17 Gpa,,,,,,1.435,2.0,104.8,0.28806018365093006
147,170,"umitomo Bakelite Durez® 31735 Phenolic, Compression Grade",Polymer,1.43 g/cc,55.0 MPa,1.29 - 1.43 g/cc,2.60 - 6.21 Gpa,,-50.0 - -20.0 C,,,,1.43,1.3599999999999999,55.0,0.2844399011542614
148,197,"Polyester Thermoplastic Elastomer, Glass Filled",Polymer,1.02 - 2.00 g/cc,12.4 - 150 MPa,1.8 - 18 %,0.414 - 7.66 GPa,,,,,,1.51,9.9,81.2,0.28400315225212286
149,196,"Polysulfone, 30% Glass Fiber Reinforced",Polymer,1.46 - 1.60 g/cc,96.5 - 121 MPa,1.7 - 3.0 %,8.00 - 9.00 GPa,,,,,,1.53,2.35,108.75,0.2822454620876871
150,86,Epoxy Adhesive,Polymer,0.137 - 4.80 g/cc,0.276 - 766 MPa,0.000 - 250 %,0.0345 - 59.1 GPa,0.172 - 138 Mpa,-269 - -20.0 C,,,,2.4684999999999997,125.0,383.138,0.282126224945985
151,174,verview of materials for Polyphenylene Sulfide (PPS) with 40% Carbon Fiber Filler,Polymer,1.48 - 1.74 g/cc,77.2 - 234 MPa,0.00 - 2.0 %,12.4 - 45.0 GPa,,,,,,1.6099999999999999,1.0,155.6,0.28006572869527074
152,156,Polyphenylene Sulfide (PPS) with PTFE Filler,Polymer,1.42 - 2.03 g/cc,11.0 - 160 MPa,0.500 - 68.0 %,1.65 - 15.0 GPa,,,,,,1.7249999999999999,34.25,85.5,0.27833646778566973
153,173,Polyphenylene Sulfide (PPS) with 10% Glass Fiber Filler,Polymer,1.38 - 2.06 g/cc,34.5 - 375 MPa,0.80 - 3.5 %,4.83 - 21.0 GPa,,,,,,1.72,2.15,204.75,0.2769240179104848
154,113,"Phenolic, Ablative Coating",Polymer,1.25 - 1.85 g/cc,4.30 - 40.4 MPa,0.660 - 12.5 %,,,,coating,,,1.55,6.58,22.349999999999998,0.27586226192688384
155,178,"Polyphthalamide (PPA), 50% Glass Fiber Reinforce",Polymer,1.45 - 1.99 g/cc,70.0 - 295 MPa,0.60 - 3.2 %,10.3 - 22.1 GPa,,,,,,1.72,1.9000000000000001,182.5,0.2751720460166726
156,40,"Acrylonitrile Butadiene Styrene (ABS), Plating Grade",Polymer,1.03 - 2.50 g/cc,20.0 - 48.0 MPa,3.00 - 70.0 %,1.70 - 2.77 GPa,,,,,,1.7650000000000001,36.5,34.0,0.2726007273814916
157,95,"Liquid Crystal Polymer (LCP), Mineral Filled",Polymer,1.52 - 1.89 g/cc,76.0 - 175 MPa,1.20 - 5.50 %,7.03 - 22.0 GPa,,,,,,1.705,3.35,125.5,0.2723629090275077
158,93,"Liquid Crystal Polymer (LCP), Unfilled",Polymer,1.38 - 2.02 g/cc,32.0 - 182 MPa,0.600 - 4.10 %,7.10 - 18.0 GPa,,,fiber,,,1.7,2.3499999999999996,107.0,0.27097032382040975
159,96,Melamine-Phenolic Copolymer,Polymer,1.50 - 1.81 g/cc,53.0 - 76.0 MPa,0.470 - 0.950 %,5.00 - 13.3 GPa,,,,,,1.655,0.71,64.5,0.27018680084096736
160,83,"Epoxy, Cast, Metal Filled",Polymer,0.959 - 3.12 g/cc,0.159 - 59.6 MPa,0.000 - 130 %,4.14 - 49.6 GPa,1.70 - 31.0 MPa,,,,,2.0395,65.0,29.8795,0.2637834087339876
161,166,Expanded Polystyrene (EPS),Polymer,0.00310 - 3.50 g/cc,0.0800 - 1.10 MPa,5.00 - 13.4 %,0.00650 - 2.65 GPa,,,,,,1.75155,9.2,0.5900000000000001,0.2618902175698711
162,126,"Thermoset Polyester, Mineral Filled",Polymer,1.59 - 2.08 g/cc,24.1 - 79.3 MPa,0.410 - 1.11 %,9.90 - 21.3 GPa,,,,,,1.835,0.76,51.7,0.25744402516359105
163,35,"Acrylonitrile Butadiene Styrene (ABS), Molded",Polymer,0.882 - 3.50 g/cc,2.00 - 77.0 Mpa,1.40 - 110 %,0.778 - 21.2 Gpa,,,,,,2.191,55.7,39.5,0.25147840837232477
164,25,"COI Ceramics Sylramic S400 Silicon Carbide Ceramic Matrix Composite, Carbon",,2.10 g/cc,5.52 MPa,0.0053,110 GPa,27.6 MPa,,Fiber,,,2.1,0.0053,5.52,0.23635795345555521
165,37,"Acrylonitrile Butadiene Styrene (ABS), Impact Grade, Molded",Polymer,1.00 - 3.50 g/cc,24.0 - 138 MPa,2.00 - 12.0 %,1.40 - 5.33 GPa,,,,,,2.25,7.0,81.0,0.23451424251261074
166,175,"Polyphenylene Sulfide (PPS), Conductive",Polymer,1.29 - 3.70 g/cc,0.30 - 100 %,0.30 - 100 %,11.0 - 26.2 GPa,,,,,,2.495,50.15,50.15,0.23050203313645268
167,158,"Polyphthalamide (PPA), Stainless Fiber, EMI",Polymer,1.19 - 3.80 g/cc,52.0 - 159 MPa,0.600 - 6.00 %,2.90 - 12.4 GPa,,,,,,2.495,3.3,105.5,0.21905995603632755
168,85,"Epoxy, Electrically Conductive",Polymer,0.940 - 5.30 g/cc,13.8 - 55.2 MPa,0.200 - 55.0 %,0.146 - 7.87 GPa,4.48 - 68.9 MPa,-269 - -20.0 C,,,,3.12,27.6,34.5,0.1808526520531503
