Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,elongation_pct,strength_mpa,Score
69,70,"Acrylic, Extruded",Polymer,0.942 - 1.19 g/cc,29.0 - 93.1 MPa,2.00 - 59.0 %,0.0420 - 3.80 GPa,,,Acrylic,,,1.0659999999999998,30.5,61.05,0.3184535203240579
70,38,"Acrylonitrile Butadiene Styrene (ABS), Transparent, Molded",Polymer,1.04 - 1.16 g/cc,30.0 - 57.0 MPa,10.0 - 70.0 %,1.35 - 2.35 GPa,,,,,,1.1,40.0,43.5,0.318070423187205
71,59,"Polycarbonate/ABS Alloy, Glass Fiber Filled",Polymer,0.962 - 1.48 g/cc,27.0 - 131 MPa,0.600 - 109 %,2.41 - 13.0 GPa,,,,,,1.221,54.8,79.0,0.31772708867604826
72,183,"Polypropylene, Stainless Fiber, EMI",Polymer,0.930 - 1.30 g/cc,15.0 - 70.0 MPa,2.5 - 76 %,0.621 - 4.10 GPa,,,,,,1.115,39.25,42.5,0.31676251155412716
73,80,"Cellulose Acetate Propionate, Molded",Polymer,1.17 - 1.21 g/cc,8.00 - 8.00 MPa,34.0 - 86.0 %,0.927 - 1.85 GPa,,,,,,1.19,60.0,8.0,0.316164914409879
74,22,Vapla Vaplatec 1000 Ultra High Molecular Weight Polyethylene,,0.930 g/cc,22.0 MPa,2.9,0.915 GPa,,,,,,0.93,2.9,22.0,0.3152535881428327
75,187,"Polystyrene, Transparent Grade",Polymer,1.03 - 1.06 g/cc,35.0 - 59.0 MPa,1.0 - 35 %,2.59 - 4.71 GPa,,,,,,1.045,18.0,47.0,0.31461591194923305
76,75,Acrylic/Polycarbonate Alloy,Polymer,1.12 - 1.29 g/cc,40.3 - 61.0 MPa,8.00 - 88.0 %,1.72 - 2.60 GPa,,,,,,1.205,48.0,50.65,0.3143863749080838
77,73,"Acrylic, Gamma Radiation Resistant, Molded",Polymer,1.08 - 1.17 g/cc,36.3 - 50.3 MPa,5.00 - 50.0 %,1.38 - 2.96 GPa,,,,,,1.125,27.5,43.3,0.3122561680774388
78,99,"Nylon 6, Impact Grade",Polymer,1.00 - 4.00 g/cc,12.0 - 470 MPa,1.50 - 500 %,0.145 - 3.30 GPa,,-100 - -40.0 C,,,,2.5,250.75,241.0,0.3112550029049069
79,111,Nylon 11 + Carbon Fiber,Polymer,1.00 - 1.26 g/cc,41.0 - 200 MPa,1.00 - 11.0 %,1.45 - 22.8 GPa,,,fiber,,,1.13,6.0,120.5,0.3105624809232233
80,36,"Acrylonitrile Butadiene Styrene (ABS), Heat Resistant, Molded",polymer,0.890 - 1.50 g/cc,19.6 - 63.0 MPa,2.50 - 70.0 %,1.70 - 2.70 GPa,,,,,,1.195,36.25,41.3,0.3104298210904954
81,72,"Acrylic, Optical Grade, Molded",Polymer,1.11 - 1.19 g/cc,38.0 - 89.3 MPa,2.00 - 40.0 %,1.76 - 3.65 GPa,,,Acrylic,,,1.15,21.0,63.65,0.30998018997404014
82,198,"PVC, High Impact",Polymer,1.20 - 1.52 g/cc,30.0 - 44.9 MPa,26 - 110 %,2.03 - 3.30 GPa,,,,,,1.3599999999999999,68.0,37.45,0.3098924810265255
83,167,"Polystyrene + Polyphenylene Ether, Unreinforced",Polymer,0.880 - 2.07 g/cc,34.0 - 165 MPa,0.700 - 150 %,1.50 - 16.3 GPa,,,,,,1.4749999999999999,75.35,99.5,0.30945409858052136
84,71,"Acrylic, UV Stabilized, Molded",Polymer,1.15 - 1.20 g/cc,32.4 - 80.0 MPa,2.00 - 50.0 %,1.79 - 3.45 GPa,,,Acrylic,,,1.1749999999999998,26.0,56.2,0.3094468079131421
85,169,"Styrene Acrylonitrile (SAN), Transparent",Polymer,1.07 - 1.08 g/cc,62.0 - 75.8 MPa,2.00 - 3.50 %,3.17 - 3.80 GPa,,,,,,1.0750000000000002,2.75,68.9,0.30921610972558883
86,180,Polypropylene with Glass Fiber + Bead Filler,Polymer,0.960 - 1.23 g/cc,34.5 - 92.0 MPa,2.5 - 6.0 %,2.80 - 7.00 GPa,,,,,,1.095,4.25,63.25,0.30798056464806456
87,41,"Acrylonitrile Butadiene Styrene (ABS), Unreinforced, Flame Retardant",Polymer,1.04 - 1.43 g/cc,21.6 - 52.0 MPa,2.00 - 56.0 %,1.27 - 4.48 GPa,,,,,,1.2349999999999999,29.0,36.8,0.30505716749109896
88,48,"Acrylonitrile Butadiene Styrene (ABS), 10% Carbon Fiber Filled",Polymer,1.07 - 1.26 g/cc,48.3 - 103 MPa,0.700 - 10.0 %,3.45 - 11.7 GPa,,,,,,1.165,5.35,75.65,0.3046880318276621
89,128,Polyethersulfone (PES),Polymer,1.21 - 1.85 g/cc,56.5 - 325 MPa,0.450 - 100 %,2.00 - 36.6 GPa,,,,,,1.53,50.225,190.75,0.30433002576280627
90,49,"Acrylonitrile Butadiene Styrene (ABS), 20% Carbon Fiber Filled",Polymer,1.10 - 1.30 g/cc,75.0 - 150 MPa,1.00 - 2.00 %,10.0 - 13.8 GPa,,,,,,1.2000000000000002,1.5,112.5,0.3038760555210805
91,74,"Acrylic, Optical Sheet",Polymer,1.15 - 1.19 g/cc,54.0 - 83.0 MPa,4.00 - 5.80 %,1.52 - 3.38 GPa,,,,,,1.17,4.9,68.5,0.30367424015236494
92,51,"Acrylonitrile Butadiene Styrene (ABS), PTFE Filled",Polymer,1.05 - 1.32 g/cc,34.5 - 44.8 MPa,2.00 - 25.0 %,,,,,,,1.185,13.5,39.65,0.3033895774689896
93,190,"Polystyrene + Polyphenylene Ether, Glass + Mineral Filler",Polymer,1.13 - 1.43 g/cc,50.0 - 120 MPa,1.0 - 40 %,,,,,,,1.2799999999999998,20.5,85.0,0.30289323832960924
94,6,BASF Elastollan® 1185 A W TPUR,polyurethane elastomers,1.16 g/cc,40.0 MPa,7,,50.0 kN/m,,,,,1.16,7.0,40.0,0.30289120163758376
95,110,"Nylon 66, Mineral Filled, NCG Fiber Filled",Polymer,1.14 - 1.38 g/cc,68.9 - 207 MPa,0.500 - 5.00 %,5.17 - 13.1 GPa,,,fiber,,,1.2599999999999998,2.75,137.95,0.3022677284420056
96,191,"Styrene-Butadiene Copolymer, SBC",Polymer,0.848 - 7.98 g/cc,1.61 - 27.6 MPa,2.5 - 1300 %,0.0689 - 2.90 GPa,6.30 - 104 kN/m,,,,,4.414000000000001,651.25,14.605,0.30210894169242086
97,107,"Nylon 66, Aramid Fiber Filled",Polymer,1.14 - 1.32 g/cc,48.3 - 138 MPa,1.60 - 10.0 %,2.41 - 11.0 GPa,,,fiber,,,1.23,5.8,93.15,0.3018894200630271
98,8,BASF Elastollan® S 50 A SPF TPUR,,1.20 g/cc,35.0 MPa,9,,40.0 kN/m,175 - 220 C,,,,1.2,9.0,35.0,0.3005597793008407
99,157,"Polyphthalamide (PPA), Aramid Fiber",Polymer,1.21 - 1.38 g/cc,51.7 - 241 MPa,1.00 - 3.50 %,3.50 - 24.1 GPa,,,,,,1.295,2.25,146.35,0.30043698567478644
100,184,"Polypropylene, Wood Filled",Polymer,0.938 - 1.45 g/cc,20.0 - 66.0 MPa,1.2 - 10 %,1.72 - 6.20 GPa,,,,,,1.194,5.6,43.0,0.30042145575029383
101,189,"Polystyrene + Polyphenylene Ether, Glass Filler",Polymer,1.14 - 1.45 g/cc,60.0 - 148 MPa,1.0 - 20 %,3.80 - 10.6 GPa,,,,,,1.295,10.5,104.0,0.3000066067683409
102,103,"Nylon 6, 20% Mineral Filled",Polymer,1.05 - 1.66 g/cc,33.0 - 140 MPa,0.900 - 50.0 %,1.10 - 6.25 GPa,,,,,,1.355,25.45,86.5,0.29973685578167625
103,42,"Acrylonitrile Butadiene Styrene (ABS), Glass Fiber Filled, Flame Retardant",Polymer,1.13 - 1.48 g/cc,35.0 - 85.0 MPa,1.50 - 40.0 %,3.10 - 9.65 GPa,,,,,,1.305,20.75,60.0,0.2994626258106046
